UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mac Budkowski,@MacBudkowski,2021-12-08T21:42:30.000Z,"Mac Budkowski
@MacBudkowski
·
9 Dec 2021","Replying to 
@Austen
Donald Trump ""The Power of Audacity""
21",,,,21,[],https://twitter.com/MacBudkowski/status/1468697521241350148
Republicans against Trumpism,@RpsAgainstTrump,2021-12-08T20:51:24.000Z,"Republicans against Trumpism
@RpsAgainstTrump
·
9 Dec 2021","Replying to 
@POTUS
Donald Trump just talked about infrastructures, Biden actually delivered.
reps4biden.com
Republicans For Joe Biden
Republicans For Joe Biden
12
12
57",,12,12,57,['https://pbs.twimg.com/card_img/1481195815699984384/Us8zD83Z?format=jpg&name=360x360'],https://twitter.com/RpsAgainstTrump/status/1468684660741967881
Jeffrey Levin,@jilevin,2021-12-08T22:11:16.000Z,"Jeffrey Levin
@jilevin
·
9 Dec 2021","Donald Trump's Former Chief Of Staff Told A Member Of Congress He ""Loved"" A Plan To Undermine The Election Days Before Jan. 6
buzzfeednews.com
Donald Trump's Former Chief Of Staff Told A Member Of Congress He ""Loved"" A Plan To Undermine The...
The charges against Meadows mark the third Trump ally to be hit with contempt of Congress in the Jan. 6 investigation.
15
16",,,15,16,['https://pbs.twimg.com/card_img/1481401199597395976/UZvzmnQj?format=jpg&name=small'],https://twitter.com/jilevin/status/1468704760064843778
"Truth; don’t run from it, you’ll only die tired.",@MrChiTown76,2021-12-08T20:52:49.000Z,"Truth; don’t run from it, you’ll only die tired.
@MrChiTown76
·
9 Dec 2021","People who tried to tear America apart: AKA - Deplorable’s!

Benedict Arnold
Andrew Johnson 
Richard Nixon
Ronald Reagan
Donald Trump
Mitch McConnell
Rupert Murdoch

Are there anymore names you wanna add to this list?
7
8
16",,7,8,16,[],https://twitter.com/MrChiTown76/status/1468685016792276998
Newsweek,@Newsweek,2021-12-08T23:46:15.000Z,"Newsweek
@Newsweek
·
9 Dec 2021","Mark Simon told a judge that supporting former President Donald Trump was a ""bad mistake"" he made during his relapse.
newsweek.com
Capitol rioter who sold Trump hats for drugs says he wouldn't have been in D.C. if sober
Mark Simon told a judge that supporting former President Donald Trump was a ""bad mistake"" he made during his relapse.
4
7
7",,4,7,7,['https://pbs.twimg.com/card_img/1481480174923390979/ItOgZkzA?format=jpg&name=small'],https://twitter.com/Newsweek/status/1468728662203805699
The Economist,@TheEconomist,2021-12-08T20:00:23.000Z,"The Economist
@TheEconomist
·
9 Dec 2021","Do the Republicans need Donald Trump to win? 
@AnneMcElvoy
 asks the former Virginia congressman and House majority leader 
@ericcantor
, on “The Economist Asks” podcast
economist.com
Do the Republicans need Donald Trump to win?
We talk to Eric Cantor, the former House majority leader and Virginia congressman, about his career and the future of American politics
6
8
7",,6,8,7,['https://pbs.twimg.com/card_img/1481763969169768456/3p5GM0Bh?format=jpg&name=small'],https://twitter.com/TheEconomist/status/1468671821251764226
Khashoggi’s Ghost,@UROCKlive1,2021-12-08T22:38:39.000Z,"Khashoggi’s Ghost
@UROCKlive1
·
9 Dec 2021","Here's the original 
@axios
 reporting.

I can relate to this, though I'm not in college or dating. There is no way in hell I'd get involved with anyone who still supports Donald Trump or the GOP.
axios.com
Young Democrats more likely to despise the other party
37% of Democrats wouldn't befriend someone who voted for the other party.
10
16
65",,10,16,65,['https://pbs.twimg.com/card_img/1481337497221320710/Fph7I9Fl?format=jpg&name=small'],https://twitter.com/UROCKlive1/status/1468711648760262656
John Van Dammit,@DammitJean,2021-12-08T20:59:15.000Z,"John Van Dammit
@DammitJean
·
9 Dec 2021","Replying to 
@thedailybeast
Half of my family is Russian-borne and they all think Putin handpicked Donald Trump to run for office so that he could divide us and then takeover Europe while we’re all busy fighting each other.  Hard to disagree with them now IMO.
1
28",,1,,28,[],https://twitter.com/DammitJean/status/1468686633969070093
NewDemocrat4Life,@reesetheone1,2021-12-08T22:22:00.000Z,"NewDemocrat4Life
@reesetheone1
·
9 Dec 2021","Donald Trump won all voters without a college degree in 2016 and 2020 after Obama won them in 2008 and 12.

This will only make this problem worse.
3
1
31",,3,1,31,[],https://twitter.com/reesetheone1/status/1468707458520698882
mcc,@mcclure111,2021-12-08T23:59:01.000Z,"mcc
@mcclure111
·
9 Dec 2021","Orbs are coming back in a big way, everyone just seems to have forgotten the whole Donald Trump thing. This would have been the Weird Orb Account community's *moment*
4
29",,4,,29,[],https://twitter.com/mcclure111/status/1468731876068184065
(((DavidLieberman))),@davidilieberman,2021-12-08T23:56:30.000Z,"(((DavidLieberman)))
@davidilieberman
·
9 Dec 2021","Replying to 
@4everNeverTrump
 and 
@nytdavidbrooks
In 1980 Reagan chose to shit on the graves of Chaney, Schwerner and Goodman as the opening act of his campaign. The shit grew up to be Donald Trump. Every ""conservative"" operative and ""opinion leader"" active between then and now was complicit.
1
31",,1,,31,[],https://twitter.com/davidilieberman/status/1468731243906928643
Annie van Leur,@AnnevanLeur,2021-12-08T22:04:25.000Z,"Annie van Leur
@AnnevanLeur
·
9 Dec 2021","Replying to 
@AnotherNHhick
, 
@45rapeKatiejohn
 and 
@jengrimes8
I believe with all my heart that Trump/Kushner etc. were involved.
Donald Trump, with the way he projects, ""shoot someone on 5th Ave..."" makes me believe he's had people killed before.
3
3
6",,3,3,6,[],https://twitter.com/AnnevanLeur/status/1468703036465897475
Glenn Kirschner,@glennkirschner2,2021-12-09T23:26:45.000Z,"Glenn Kirschner
@glennkirschner2
·
10 Dec 2021","Here are the words of a unanimous three-judge panel in rejecting Donald Trump’s attempt to hide deeply damaging information from the House select committee and from We The People. Things are happening, friends:
393
4.6K
13.6K",,393,4.6K,13.6K,['https://pbs.twimg.com/media/FGM-DyhXEAQEhvR?format=jpg&name=small'],https://twitter.com/glennkirschner2/status/1469086141261434881
Katiejohn,@45rapeKatiejohn,2021-12-09T22:23:00.000Z,"Katiejohn
@45rapeKatiejohn
·
10 Dec 2021","Trump organization 

""Letitia James, you promised America, Donald Trump will be held accountable,keep your promise""
6
26
47",,6,26,47,['https://pbs.twimg.com/ext_tw_video_thumb/1469070030730145802/pu/img/W2xr7P4MFfxOUb5P.jpg'],https://twitter.com/45rapeKatiejohn/status/1469070100787605510
