UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Juan Calvino,@jcalvinogt,2022-03-28T20:03:23.000Z,"Juan Calvino
@jcalvinogt
·
29 Mar","Do you like this ?  #Dogecoin   going up !
4
5
22",👍,4,5,22,['https://pbs.twimg.com/media/FO9ki1gX0AUV7KE?format=jpg&name=small'],https://twitter.com/jcalvinogt/status/1508535239710322701
Daryna Doge Girl,@DarynaDogeGirl,2022-03-28T11:40:07.000Z,"Daryna Doge Girl
@DarynaDogeGirl
·
28 Mar","The whole universe loves #dogecoin 
15
26
112",🐕 🙏 💛 🐕 🚀,15,26,112,[],https://twitter.com/DarynaDogeGirl/status/1508408592101171203
João Barbosa,@JooBarb27033183,2022-03-28T18:21:09.000Z,"João Barbosa
@JooBarb27033183
·
28 Mar","Replying to 
@MercadoBitcoin
 @LEONARDBRYTO
  and 2 others
#Baby doge coin em MERCADO BITCOIN.
4
5
15",,4,5,15,['https://pbs.twimg.com/media/FO9NaImXMAIeLJj?format=jpg&name=small'],https://twitter.com/JooBarb27033183/status/1508509513816715266
Sylvester Michael,@ARS_SLY,2022-03-28T15:54:03.000Z,"Sylvester Michael
@ARS_SLY
·
28 Mar","Whenever you hear about 
@FoilNetwork
 you feel satisfied and fulfilled. Your security is assured.
#foilnetwork 
#dogecoin 
#PureNFT 
#TrueNFT
6",,,,6,['https://pbs.twimg.com/media/FO8ruz4X0Agkhao?format=jpg&name=small'],https://twitter.com/ARS_SLY/status/1508472496546267142
Doge,@dogeisgooood,2022-03-28T17:01:15.000Z,"Doge
@dogeisgooood
·
28 Mar","#dogecoin here we go  prepare…….
9
28
147",🚀 🚀 🚀 🚀,9,28,147,[],https://twitter.com/dogeisgooood/status/1508489404364513287
Jase.DC.NFT,@utmjase,2022-03-28T14:30:50.000Z,"Jase.DC.NFT
@utmjase
·
28 Mar","Replying to 
@SydneyIfergan
It’s  all about #dogecola for me, #nft reveal tonight at 17:00 and then all efforts on the release of the first #crypto soft drink on #amazon this is going to me absolutely stunning! This is the real #DOGE  coin with huge utility! #bnb #btc #eth #dogecolanft
1
5
5",,1,5,5,['https://pbs.twimg.com/media/FO8YsN1XMAEaGrc?format=jpg&name=small'],https://twitter.com/utmjase/status/1508451552801005570
Wendy Medina,@WendyMZ8534,2022-03-28T14:22:20.000Z,"Wendy Medina
@WendyMZ8534
·
28 Mar","Much wow! #dogecoin #DogecoinToTheMoon
GIF
4
6
18",,4,6,18,[],https://twitter.com/WendyMZ8534/status/1508449413529849857
AcceptÐogecoins.Ðoge,@AcceptDogecoins,2022-03-28T11:53:25.000Z,"AcceptÐogecoins.Ðoge
@AcceptDogecoins
·
28 Mar","Stop promoting your scam tokens. #Dogecoin fixes this.
5
19
63",,5,19,63,"['https://pbs.twimg.com/media/FO70IbiXEAE609j?format=jpg&name=small', 'https://pbs.twimg.com/media/FO70OBfWQAkNHJ7?format=jpg&name=360x360']",https://twitter.com/AcceptDogecoins/status/1508411937662636032
Clementina Chinelo,@Chiclemzy2,2022-03-28T15:02:57.000Z,"Clementina Chinelo
@Chiclemzy2
·
28 Mar","@FoilNetwork
 supports dogecoin, as the most simple and scalable cryptocurrency with huge supply and emission, top liquidity, and global crypto adopters recognition.
#PureNFT #TrueNFT #OnChain #DOGE2 #DogeArmy #foilnetwork
1
13",,,1,13,['https://pbs.twimg.com/media/FO8gCrJWYAQh2oU?format=jpg&name=small'],https://twitter.com/Chiclemzy2/status/1508459633391898629
Luis Aphisak,@LAphisak,2022-03-28T03:19:07.000Z,"Luis Aphisak
@LAphisak
·
28 Mar","#dogecoin  go go
4
9",,,4,9,['https://pbs.twimg.com/media/FO5-8ouaAAE-M_r?format=jpg&name=900x900'],https://twitter.com/LAphisak/status/1508282511520321543
